ID,TriggerType,TriggerParam,ActionType,ActionParam,Once
1,EventEnd,1,SetBarrier,0,TRUE
2,EventEnd,25,UnlockBarrier,1,TRUE
3,GetItem,balloon,UnlockBarrier,2,TRUE
4,EventEnd,62,UnlockBarrier,3,TRUE
5,OpenChest,2,DropItem,medal,TRUE
6,OpenChest,3,DropItem,medal,TRUE
7,OpenChest,4,DropItem,medal,TRUE
8,OpenChest,6,DropItem,medal,TRUE
9,OpenChest,7,DropItem,medal,TRUE
10,OpenChest,8,DropItem,medal,TRUE
11,OpenChest,9,DropItem,medal,TRUE
12,OpenChest,10,DropItem,medal,TRUE
13,EventEnd,68,ActiveGoal,0,TRUE
