ID,TriggerType,TriggerParam,ActionType,ActionParam,Once
1,OpenChest,1,DropItem,medal,TRUE
2,OpenChest,2,DropItem,coin,TRUE
3,OpenChest,3,DropItem,coin,TRUE
4,OpenChest,4,DropItem,coin,TRUE
5,OpenChest,5,DropItem,coin,TRUE
6,OpenChest,6,DropItem,medal,TRUE
7,OpenChest,7,DropItem,coin,TRUE
8,OpenChest,8,DropItem,medal,TRUE
9,OpenChest,9,DropItem,coin,TRUE
10,OpenChest,10,DropItem,coin,TRUE
11,OpenChest,11,DropItem,coin,TRUE
12,OpenChest,12,DropItem,coin,TRUE
13,OpenChest,13,DropItem,coin,TRUE
14,OpenChest,14,DropItem,coin,TRUE
15,OpenChest,15,DropItem,coin,TRUE
16,OpenChest,16,DropItem,coin,TRUE
17,OpenChest,17,DropItem,coin,TRUE
18,OpenChest,18,DropItem,medal,TRUE
19,OpenChest,19,DropItem,coin,TRUE
20,OpenChest,20,DropItem,coin,TRUE
21,OpenChest,21,DropItem,coin,TRUE
22,OpenChest,22,DropItem,coin,TRUE
23,OpenChest,23,DropItem,coin,TRUE
24,OpenChest,24,DropItem,medal,TRUE
25,OpenChest,25,DropItem,coin,TRUE
26,OpenChest,26,DropItem,coin,TRUE
27,OpenChest,27,DropItem,coin,TRUE
28,OpenChest,28,DropItem,medal,TRUE
29,OpenChest,29,DropItem,coin,TRUE
30,OpenChest,30,DropItem,coin,TRUE
31,OpenChest,31,DropItem,coin,TRUE
32,OpenChest,32,DropItem,coin,TRUE
33,OpenChest,33,DropItem,medal,TRUE
34,OpenChest,34,DropItem,coin,TRUE
35,OpenChest,35,DropItem,coin,TRUE
36,OpenChest,36,DropItem,coin,TRUE
37,OpenChest,37,DropItem,medal,TRUE
38,OpenChest,38,DropItem,coin,TRUE
39,OpenChest,39,DropItem,coin,TRUE
40,OpenChest,40,DropItem,coin,TRUE
41,OpenChest,41,DropItem,medal,TRUE
42,OpenChest,42,DropItem,coin,TRUE
43,OpenChest,43,DropItem,coin,TRUE
44,OpenChest,44,DropItem,coin,TRUE
45,OpenChest,45,DropItem,medal,TRUE
46,OpenChest,46,DropItem,coin,TRUE
47,OpenChest,47,DropItem,coin,TRUE
48,OpenChest,48,DropItem,coin,TRUE
49,OpenChest,49,DropItem,coin,TRUE
50,OpenChest,50,DropItem,coin,TRUE
51,OpenChest,51,DropItem,coin,TRUE
52,OpenChest,52,DropItem,coin,TRUE
53,OpenChest,53,DropItem,coin,TRUE
54,OpenChest,54,DropItem,coin,TRUE
