ID,TriggerType,TriggerParam,ActionType,ActionParam,Once
1,OpenChest,1,DropItem,coin,TRUE
2,OpenChest,2,DropItem,medal,TRUE
3,OpenChest,3,DropItem,coin,TRUE
4,OpenChest,4,DropItem,coin,TRUE
5,OpenChest,5,DropItem,coin,TRUE
6,OpenChest,6,DropItem,coin,TRUE
7,OpenChest,7,DropItem,medal,TRUE
8,OpenChest,8,DropItem,coin,TRUE
9,OpenChest,9,DropItem,coin,TRUE
10,OpenChest,10,DropItem,coin,TRUE
11,OpenChest,11,DropItem,medal,TRUE
12,OpenChest,12,DropItem,coin,TRUE
13,OpenChest,13,DropItem,coin,TRUE
14,OpenChest,14,DropItem,medal,TRUE
15,OpenChest,15,DropItem,medal,TRUE
16,OpenChest,16,DropItem,coin,TRUE
17,OpenChest,17,DropItem,coin,TRUE
18,OpenChest,18,DropItem,medal,TRUE
19,OpenChest,19,DropItem,coin,TRUE
20,OpenChest,20,DropItem,medal,TRUE
21,OpenChest,21,DropItem,coin,TRUE
22,OpenChest,22,DropItem,coin,TRUE
23,OpenChest,23,DropItem,coin,TRUE
24,OpenChest,24,DropItem,coin,TRUE
25,OpenChest,25,DropItem,medal,TRUE
26,OpenChest,26,DropItem,coin,TRUE
27,OpenChest,27,DropItem,coin,TRUE
28,OpenChest,28,DropItem,coin,TRUE
29,OpenChest,29,DropItem,coin,TRUE
30,OpenChest,30,DropItem,coin,TRUE
31,OpenChest,31,DropItem,medal,TRUE
32,OpenChest,32,DropItem,coin,TRUE
33,OpenChest,33,DropItem,coin,TRUE
