ID,TriggerType,TriggerParam,ActionType,ActionParam,Once
1,EventEnd,1,SetBarrier,1,TRUE
2,EventEnd,25,UnlockBarrier,1,TRUE
3,GetItem,balloon,UnlockBarrier,2,TRUE
4,EventEnd,62,UnlockBarrier,3,TRUE
5,OpenChest,2,DropItem,coin,TRUE
6,OpenChest,3,DropItem,coin,TRUE
7,OpenChest,4,DropItem,coin,TRUE
8,OpenChest,6,DropItem,coin,TRUE
9,OpenChest,7,DropItem,coin,TRUE
10,OpenChest,8,DropItem,coin,TRUE
11,OpenChest,9,DropItem,coin,TRUE
12,OpenChest,10,DropItem,coin,TRUE
13,EventEnd,68,ActiveGoal,0,TRUE
14,EventEnd,4,ShowHint,info_move,TRUE
15,EventEnd,8,ShowHint,info_jump_1,TRUE
16,EventEnd,12,ShowHint,info_jump_2,TRUE
17,EventEnd,16,ShowHint,info_chest_1,TRUE
18,EventEnd,21,ShowHint,info_item,TRUE
19,EventEnd,29,ShowHint,info_balloon,TRUE
20,EventEnd,34,ShowHint,info_item,TRUE
21,EventEnd,38,ShowHint,info_medal_1,TRUE
22,EventEnd,42,ShowHint,info_medal_2,TRUE
23,EventEnd,53,ShowHint,info_chest_2,TRUE
24,EventEnd,68,ShowHint,info_goal,TRUE
